route,method,source,access,callers,status,evidence
/api/admin/books/[id]/arrived,POST,src/pages/api/admin/books/[id]/arrived.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/books/[id]/delete,POST,src/pages/api/admin/books/[id]/delete.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=302; csrf=403; unsupported-method=404
/api/admin/books/[id]/set,POST,src/pages/api/admin/books/[id]/set.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=404; malformed=404; csrf=403; unsupported-method=404
/api/admin/books/[id]/telegram,POST,src/pages/api/admin/books/[id]/telegram.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=302; csrf=403; unsupported-method=404
/api/admin/books/save,POST,src/pages/api/admin/books/save.ts,admin middleware,src/pages/admin/books/[id].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/books/stock,POST,src/pages/api/admin/books/stock.ts,admin middleware,src/pages/admin/books/index.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; malformed=500; csrf=403; unsupported-method=404
/api/admin/covers/image,GET,src/pages/api/admin/covers/image.ts,admin middleware,src/pages/admin/books/[id].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=400; unsupported-method=404
/api/admin/covers/search,GET,src/pages/api/admin/covers/search.ts,admin middleware,src/pages/admin/books/[id].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=200; unsupported-method=404
/api/admin/isbn/search,GET,src/pages/api/admin/isbn/search.ts,admin middleware,src/pages/admin/books/[id].astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=200; unsupported-method=404
/api/admin/login,POST,src/pages/api/admin/login.ts,route-specific/public,src/middleware.ts; src/pages/admin/login.astro,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=500; csrf=403; unsupported-method=404
/api/admin/orders/[ref]/cancel-request,POST,src/pages/api/admin/orders/[ref]/cancel-request.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=404; malformed=500; csrf=403; unsupported-method=404
/api/admin/orders/[ref]/cash-payment,POST,src/pages/api/admin/orders/[ref]/cash-payment.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=404; malformed=500; csrf=403; unsupported-method=404
/api/admin/orders/[ref]/confirm,POST,src/pages/api/admin/orders/[ref]/confirm.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=404; malformed=404; csrf=403; unsupported-method=404
/api/admin/orders/[ref]/delete,POST,src/pages/api/admin/orders/[ref]/delete.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=302; malformed=302; csrf=403; unsupported-method=404
/api/admin/orders/[ref]/extend,POST,src/pages/api/admin/orders/[ref]/extend.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=404; malformed=404; csrf=403; unsupported-method=404
/api/admin/orders/[ref]/message,POST,src/pages/api/admin/orders/[ref]/message.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=404; malformed=404; csrf=403; unsupported-method=404
/api/admin/orders/[ref]/proof,GET,src/pages/api/admin/orders/[ref]/proof.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=404; unsupported-method=404
/api/admin/orders/[ref]/status,POST,src/pages/api/admin/orders/[ref]/status.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=404; malformed=404; csrf=403; unsupported-method=404
/api/admin/orders/[ref]/thread,GET,src/pages/api/admin/orders/[ref]/thread.ts,admin middleware,Dynamic/form/external caller; see source and workflow matrix,"HTTP boundary checked; source reviewed; happy paths covered by subsystem suite, not individually certified",unauthenticated=302; authenticated-empty=200; unsupported-method=404
